epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,13773.8,0.94358,0.61987,0.94384,0.80954,0.77634,0.83924,0.61773,0.99457,0.67959,0.97382,0.000742815,0.000742815,0.000742815
58,14013.1,0.94291,0.61429,0.94513,0.81551,0.77765,0.8392,0.61852,0.99581,0.67964,0.9757,0.000726312,0.000726312,0.000726312
59,14253.5,0.93491,0.61362,0.94409,0.80632,0.77623,0.83926,0.61662,0.99647,0.68246,0.97425,0.000709809,0.000709809,0.000709809
60,14493.9,0.94009,0.60931,0.94285,0.80939,0.78735,0.84076,0.6179,1.00313,0.67641,0.97847,0.000693305,0.000693305,0.000693305
61,14735.2,0.93364,0.60515,0.94135,0.80058,0.78057,0.83836,0.61807,0.99879,0.68075,0.97634,0.000676802,0.000676802,0.000676802
62,14976,0.9444,0.61127,0.9445,0.80698,0.77721,0.83735,0.61579,0.99639,0.68145,0.97554,0.000660299,0.000660299,0.000660299
63,15217.6,0.92949,0.60662,0.94144,0.81325,0.77696,0.84012,0.61845,0.99766,0.67906,0.97481,0.000643795,0.000643795,0.000643795
64,15457.7,0.93238,0.60442,0.93914,0.80624,0.79125,0.8422,0.62074,0.99272,0.6706,0.97425,0.000627292,0.000627292,0.000627292
65,15698.8,0.93153,0.60414,0.94014,0.80614,0.78286,0.84056,0.61823,0.99775,0.67795,0.97652,0.000610789,0.000610789,0.000610789
66,15938.8,0.93071,0.59686,0.9416,0.80557,0.78071,0.84038,0.6191,0.99549,0.66979,0.97229,0.000594286,0.000594286,0.000594286
67,16180,0.92972,0.59776,0.9378,0.79572,0.78829,0.841,0.61971,0.99104,0.67476,0.97219,0.000577782,0.000577782,0.000577782
68,16421.8,0.92708,0.59445,0.93802,0.81279,0.78173,0.84132,0.6198,0.99152,0.67269,0.97496,0.000561279,0.000561279,0.000561279
69,16662.3,0.92497,0.59283,0.93622,0.80544,0.78528,0.84052,0.61974,0.99149,0.67631,0.97354,0.000544776,0.000544776,0.000544776
70,16901.2,0.91977,0.5859,0.93515,0.81285,0.78987,0.84361,0.62157,0.99461,0.66873,0.97654,0.000528272,0.000528272,0.000528272
71,17142.6,0.92711,0.58958,0.93867,0.79719,0.79221,0.84087,0.62038,0.99305,0.67159,0.97407,0.000511769,0.000511769,0.000511769
72,17384.4,0.91598,0.58163,0.93208,0.80412,0.78705,0.84057,0.61833,0.99751,0.67549,0.97751,0.000495266,0.000495266,0.000495266
73,17625.3,0.91749,0.5869,0.93342,0.80703,0.78749,0.84014,0.61911,0.99576,0.67176,0.97615,0.000478762,0.000478762,0.000478762
74,17866.3,0.9169,0.58276,0.93656,0.80435,0.78285,0.83907,0.61824,0.99702,0.6736,0.97862,0.000462259,0.000462259,0.000462259
75,18108.4,0.90858,0.57994,0.934,0.80631,0.78015,0.83817,0.61818,0.99915,0.67164,0.97944,0.000445756,0.000445756,0.000445756
76,18349.1,0.90541,0.57032,0.92981,0.80935,0.78708,0.84226,0.6205,0.99423,0.6705,0.97426,0.000429253,0.000429253,0.000429253
77,18590.5,0.91389,0.57544,0.93314,0.80896,0.78377,0.83997,0.61938,0.99312,0.66944,0.97641,0.000412749,0.000412749,0.000412749
78,18831.2,0.90393,0.56891,0.92982,0.80905,0.78171,0.83884,0.61815,0.99438,0.67054,0.97775,0.000396246,0.000396246,0.000396246
79,19071.7,0.89922,0.56746,0.92886,0.80551,0.78645,0.84019,0.61873,0.99498,0.6712,0.97747,0.000379743,0.000379743,0.000379743
80,19311.2,0.90114,0.56372,0.93104,0.81119,0.78073,0.84105,0.61935,0.99384,0.67217,0.97669,0.000363239,0.000363239,0.000363239
